source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,parallax_over_error,num_selected_g_fov,G_abs
2158980729992107776,273.6242980939928,61.39282228348659,1.2152432890009417,0.024651729,15.249036,0.22594929,49.296474,39,5.672351038726642
6442291862707764096,296.38292873772156,-61.33586175578481,1.1764738158132668,0.22936401,19.718975,1.2679062,5.1292872,31,10.071886395866077
6439756285816338816,287.4390903707718,-62.16510196196749,3.5715959132260124,0.4659448,13.649112,0.8884096,7.665277,56,6.413424288188214
2159834324676298880,275.3438091251238,61.8153241278959,1.3398048455117912,0.16655494,19.458385,0.9190216,8.044221,39,10.093593188123215
4049108632020878464,271.6941051049689,-31.384574056159973,1.7616373041399083,0.33778396,18.84667,1.2204723,5.215278,25,10.076252642122338
4049048498195202432,272.0552760633146,-31.60385199069981,1.642147382230512,0.28356522,18.05242,1.2908993,5.7910743,30,9.129480324130329
6734392176237831168,275.97678783955223,-35.489832904460314,3.053133881839573,0.51910967,18.956673,1.238905,5.881481,28,11.380401912468038
2162336164614235648,316.9676860325976,44.09499091390444,2.093564658665122,0.015142018,14.159802,0.28355122,138.26193,53,5.7642333751320365
4049036231735800832,271.8944805669713,-31.85682450956803,1.1999749571590892,0.19140302,18.517662,1.4684143,6.2693624,29,8.91352296157336
4049066988003831424,272.58428797117534,-31.354713745339716,1.5049661825908558,0.25424182,18.762768,1.3765373,5.9194283,31,9.650401497778782
4049115022935296896,271.838262608929,-31.29818368972634,5.6650736100404036,0.98756844,18.824253,1.4497623,5.736386,25,12.590280868829986
4049039019166694272,272.0304182034302,-31.724702414268204,1.4508919293253975,0.2461223,18.523964,1.6264191,5.895004,30,9.332139252831851
4049097735741260800,271.9651952084062,-31.451608461163367,2.348555021238309,0.42003387,18.508396,1.6736374,5.5913467,30,10.362399844474222
6734368639797025536,276.20080184204687,-35.786694154051084,2.2777349035215413,0.39536506,17.773119,1.0779514,5.761093,27,9.560634857188935
4049119932222817664,271.64581705257694,-31.225695997644216,1.635443133959506,0.29219335,18.459589,1.6058578,5.5971265,28,9.527766243804324
4049100282647465600,271.94681433781705,-31.39962873142194,3.9295599446671186,0.61633825,18.494503,1.5342102,6.3756547,29,11.466222612425996
4049101622631928320,271.8564476256228,-31.399181974716125,1.3206104108275518,0.20294005,18.061525,1.5042706,6.507392,30,8.665398928067347
4049102825223089408,271.8367586945476,-31.36787128385444,2.5675293507959585,0.5055264,19.041754,1.2953815,5.0789223,29,11.089330853667411
5309721901723952128,145.776229327212,-51.56040083849713,1.9851290237435613,0.3024169,17.454357,1.743763,6.5642133,53,8.943300842457669
5309747121771120000,139.25294035265676,-57.20436468047528,2.124079856230236,0.17243007,17.675907,1.5971642,12.3185005,51,9.311761336577165
5248759243295596928,138.08472311493148,-64.85054805172453,1.3387262275967882,0.26711977,17.768011,1.1105518,5.011708,34,8.401469952805307
5248765084451613440,138.15535666387782,-64.82746698613396,4.236779978799819,0.6834258,19.420855,0.88596153,6.1993275,40,12.556034124178845
4035606560520198400,269.06772016706367,-40.03252038287984,2.8577205561492063,0.29577407,17.020227,1.3588362,9.661836,38,9.30032622622643
4035613501181340928,269.25191100287316,-40.15130176540225,1.2061404699666978,0.11289116,16.36129,0.8656912,10.6841,34,6.768279426578932
4035680193367163264,269.89985909857313,-39.60845269849775,4.5259721050138895,0.64757836,17.125948,1.1277714,6.9890723,33,10.40450731693954
4035637862220640256,269.0538411872485,-39.76223522026169,8.521927264655877,1.3069047,19.865696,1.5046215,6.520695,34,14.518385069076318
3814105987357028224,171.61299090652815,5.677097547947487,1.7336903993018569,0.07498355,16.60699,1.1236773,23.120943,30,7.8018485351586175
4035644218772014720,269.17851398166226,-39.67332191545705,1.462723725839802,0.22320193,18.27723,1.3149414,6.5533648,37,9.103040838294827
4035644768528075648,269.21589185529473,-39.62688008000872,1.1553145147797614,0.22749597,17.042025,1.1528645,5.0783954,37,7.355525760577132
3824144734676052352,144.61520209112075,-5.595035182594733,2.307359272416113,0.36367375,17.907742,1.6814842,6.344586,56,9.723317659417706
4035542342173105024,269.6450007112633,-40.55748030586063,9.470271326744244,1.5752202,19.81233,1.2108536,6.01203,32,14.694142355359633
3825748819061481088,143.34297618239813,-3.020621453525445,2.0595485121690627,0.16561833,18.576218,0.27383232,12.435511,43,10.145077781941279
5880948879951022592,221.26816954445974,-57.34441915143365,4.479142419930695,0.3847823,16.976904,1.6369486,11.640718,43,10.232878273405301
3826259821385575296,146.2995293438132,-3.1559913658555687,1.883049756857703,0.044183798,13.957952,-0.47025204,42.618557,41,5.332259570890244
3826936325978931840,144.90190576532788,-3.476688593506046,1.4513146615928203,0.18003371,18.286938,1.7471085,8.061349,64,9.095745626873372
490561170163847680,63.62036509694615,67.9368751766006,1.2437786329499092,0.17765619,17.863869,1.3535767,7.0010433,80,8.337584172053386
490060441398382080,57.90935214590175,66.0817704403894,1.711974329330561,0.27349347,18.840105,1.9265289,6.2596536,82,10.007591297972837
5880975233849313664,222.30491765302716,-56.97111121924845,3.2427706896039297,0.48092327,18.780832,1.8719807,6.7428026,41,11.335413485200323
491316259775270784,50.345692008900485,65.07132579505871,3.717509891928835,0.18201602,16.52618,1.7620525,20.424082,89,9.377440931386516
